date,username,time,task,computer,stimfile
11/22/2016,gru,22-Nov-2016 16:44:57,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim11.mat
11/22/2016,gru,22-Nov-2016 16:51:19,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim12.mat
11/22/2016,gru,22-Nov-2016 16:56:39,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim13.mat
11/22/2016,gru,22-Nov-2016 17:02:04,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim14.mat
11/22/2016,gru,22-Nov-2016 17:07:29,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim15.mat
11/22/2016,gru,22-Nov-2016 17:12:54,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim16.mat
11/22/2016,gru,22-Nov-2016 17:18:22,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim17.mat
11/22/2016,gru,22-Nov-2016 17:23:59,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim18.mat
11/22/2016,gru,22-Nov-2016 17:29:26,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim19.mat
11/22/2016,gru,22-Nov-2016 17:34:47,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161122_stim20.mat
11/23/2016,gru,23-Nov-2016 22:38:54,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim03.mat
11/23/2016,gru,23-Nov-2016 22:44:19,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim04.mat
11/23/2016,gru,23-Nov-2016 22:49:44,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim05.mat
11/23/2016,gru,23-Nov-2016 22:55:07,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim06.mat
11/23/2016,gru,23-Nov-2016 23:00:59,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim07.mat
11/23/2016,gru,23-Nov-2016 23:06:21,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim08.mat
11/23/2016,gru,23-Nov-2016 23:11:45,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim09.mat
11/23/2016,gru,23-Nov-2016 23:17:04,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim10.mat
11/23/2016,gru,23-Nov-2016 23:22:24,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim11.mat
11/23/2016,gru,23-Nov-2016 23:27:44,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s025/161123_stim12.mat
11/29/2016,gru,29-Nov-2016 15:30:54,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim05.mat
11/29/2016,gru,29-Nov-2016 15:38:35,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim06.mat
11/29/2016,gru,29-Nov-2016 15:46:28,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim07.mat
11/29/2016,gru,29-Nov-2016 15:54:12,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim08.mat
11/29/2016,gru,29-Nov-2016 16:01:53,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim09.mat
11/29/2016,gru,29-Nov-2016 16:09:39,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim10.mat
11/29/2016,gru,29-Nov-2016 16:17:24,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim11.mat
11/29/2016,gru,29-Nov-2016 20:36:31,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim12.mat
11/29/2016,gru,29-Nov-2016 20:44:15,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim13.mat
11/29/2016,gru,29-Nov-2016 20:51:57,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim14.mat
11/29/2016,gru,29-Nov-2016 20:59:34,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim15.mat
11/29/2016,gru,29-Nov-2016 21:07:15,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim16.mat
11/29/2016,gru,29-Nov-2016 21:14:58,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim17.mat
11/29/2016,gru,29-Nov-2016 21:22:44,somLoc2Att.m,oban.stanford.edu,~/data/somLoc2Att/s025/161129_stim18.mat
